"CodeINSEE";"PopulationDGF2013";"PopulationDGF2014";"In‚ligibilit‚2015";"PopulationDGF2015";"CommunesUrbaines";PF2014;PF2015;"Eligibilit‚(PF<993?)";"In‚ligibilit‚2016";;;;;;;;;
55001;322;316;;317;;580;594;VRAI;;;;;;;;;;
55002;103;110;;115;;601;585;VRAI;;;;;;;;;;
55004;95;98;;98;;624;627;VRAI;;;;;;;;;;
55005;47;48;X;48;;2787;2835;FAUX;x;;;;;;;;;
55007;261;252;;252;;495;496;VRAI;;;;;;;;;;
55008;189;193;;194;;489;489;VRAI;;;;;;;;;;
55009;618;626;;621;;390;404;VRAI;;;;;;;;;;
55010;2858;2843;X;2819;OUI;797;787;VRAI;x;;;;;;;;;
55011;251;251;;252;;525;526;VRAI;;;;;;;;;;
55012;455;451;;446;;447;453;VRAI;;;;;;;;;;
55013;487;498;;493;;443;443;VRAI;;;;;;;;;;
55014;436;436;;426;;527;547;VRAI;;;;;;;;;;
55015;510;526;;533;;419;419;VRAI;;;;;;;;;;
55017;149;134;;127;;501;534;VRAI;;;;;;;;;;
55018;56;55;;52;;542;562;VRAI;;;;;;;;;;
55021;71;73;;73;;449;452;VRAI;;;;;;;;;;
55022;150;153;;153;;427;422;VRAI;;;;;;;;;;
55023;137;137;;137;;424;419;VRAI;;;;;;;;;;
55024;166;165;;169;;566;554;VRAI;;;;;;;;;;
55025;272;285;;299;;436;422;VRAI;;;;;;;;;;
55026;155;158;;156;;378;376;VRAI;;;;;;;;;;
55027;182;357;;174;;357;356;VRAI;;;;;;;;;;
55028;138;139;;141;;584;572;VRAI;;;;;;;;;;
55029;16980;16955;X;16769;OUI;821;816;VRAI;x;;;;;;;;;
55030;84;81;X;79;;2129;2273;FAUX;x;;;;;;;;;
55031;433;430;;422;;512;514;VRAI;;;;;;;;;;
55032;64;63;;57;;417;450;VRAI;;;;;;;;;;
55033;15;16;;16;;901;875;VRAI;;;;;;;;;;
55034;122;127;;133;;375;366;VRAI;;;;;;;;;;
55035;174;171;;166;;482;504;VRAI;;;;;;;;;;
55036;88;91;;93;;711;716;VRAI;;;;;;;;;;
55037;167;163;;163;;617;609;VRAI;;;;;;;;;;
55038;66;67;X;67;;1062;1040;FAUX;x;;;;;;;;;
55039;0;0;;0;;0;0;VRAI;;;;;;;;;;
55040;306;302;;290;;904;956;VRAI;;;;;;;;;;
55041;706;698;;685;;656;659;VRAI;;;;;;;;;;
55042;441;453;;468;;506;518;VRAI;;;;;;;;;;
55043;3287;3301;X;3288;OUI;653;650;VRAI;x;;;;;;;;;
55044;54;51;;49;;536;561;VRAI;;;;;;;;;;
55045;491;519;;549;;516;519;VRAI;;;;;;;;;;
55046;160;158;;158;;459;436;VRAI;;;;;;;;;;
55047;203;203;;195;;419;429;VRAI;;;;;;;;;;
55048;33;35;;36;;855;822;VRAI;;;;;;;;;;
55049;447;448;;447;;665;656;VRAI;;;;;;;;;;
55050;0;0;;0;;0;0;VRAI;;;;;;;;;;
55051;139;128;X;122;;1248;1506;FAUX;x;;;;;;;;;
55053;419;408;;403;;407;406;VRAI;;;;;;;;;;
55054;68;69;;70;;557;541;VRAI;;;;;;;;;;
55055;21;21;;20;;860;935;VRAI;;;;;;;;;;
55057;73;77;;78;;519;519;VRAI;;;;;;;;;;
55058;330;319;;328;;436;429;VRAI;;;;;;;;;;
55059;237;229;X;221;;1846;1884;FAUX;x;;;;;;;;;
55060;397;396;;393;;381;400;VRAI;;;;;;;;;;
55061;248;257;;260;;99;95;VRAI;;;;;;;;;;
55062;110;111;;115;;473;461;VRAI;;;;;;;;;;
55063;2776;2792;;2759;;578;610;VRAI;;;;;;;;;;
55064;125;133;;138;;446;429;VRAI;;;;;;;;;;
55065;138;142;;138;;620;641;VRAI;;;;;;;;;;
55066;151;149;;154;;789;779;VRAI;;;;;;;;;;
55067;116;119;;113;;386;393;VRAI;;;;;;;;;;
55068;110;109;;110;;484;468;VRAI;;;;;;;;;;
55069;248;243;;237;;584;601;VRAI;;;;;;;;;;
55070;141;138;;135;;339;354;VRAI;;;;;;;;;;
55071;213;218;;211;;372;395;VRAI;;;;;;;;;;
55072;96;98;;107;;719;646;VRAI;;;;;;;;;;
55073;740;744;;767;;698;682;VRAI;;;;;;;;;;
55075;181;178;;172;;165;163;VRAI;;;;;;;;;;
55076;195;202;;203;;492;492;VRAI;;;;;;;;;;
55077;290;286;;278;;345;362;VRAI;;;;;;;;;;
55078;360;359;;362;;603;592;VRAI;;;;;;;;;;
55079;622;619;;629;;474;467;VRAI;;;;;;;;;;
55080;110;108;;110;;527;502;VRAI;;;;;;;;;;
55081;63;64;;64;;616;649;VRAI;;;;;;;;;;
55082;53;54;;53;;560;573;VRAI;;;;;;;;;;
55083;172;175;;175;;502;506;VRAI;;;;;;;;;;
55084;69;63;X;60;;1284;1348;FAUX;x;;;;;;;;;
55085;270;277;;277;;406;408;VRAI;;;;;;;;;;
55087;97;94;X;92;;57756;62779;FAUX;x;;;;;;;;;
55088;154;155;;157;;467;447;VRAI;;;;;;;;;;
55089;103;103;;104;;389;403;VRAI;;;;;;;;;;
55093;327;330;;330;;562;551;VRAI;;;;;;;;;;
55094;581;581;;582;;559;553;VRAI;;;;;;;;;;
55095;141;137;;135;;485;485;VRAI;;;;;;;;;;
55096;115;116;;115;;584;601;VRAI;;;;;;;;;;
55097;344;344;;340;;434;454;VRAI;;;;;;;;;;
55099;129;129;;133;;596;572;VRAI;;;;;;;;;;
55100;113;116;;118;;458;437;VRAI;;;;;;;;;;
55101;307;312;;318;;699;680;VRAI;;;;;;;;;;
55102;580;582;;586;;746;734;VRAI;;;;;;;;;;
55103;31;29;;26;;750;844;VRAI;;;;;;;;;;
55104;124;119;;117;;541;555;VRAI;;;;;;;;;;
55105;184;186;;190;;457;457;VRAI;;;;;;;;;;
55106;177;176;;178;;521;511;VRAI;;;;;;;;;;
55107;53;56;;58;;473;468;VRAI;;;;;;;;;;
55108;174;170;;164;;470;487;VRAI;;;;;;;;;;
55109;287;287;;285;;368;373;VRAI;;;;;;;;;;
55110;274;271;;266;;561;573;VRAI;;;;;;;;;;
55111;507;500;X;490;;1036;958;VRAI;;;;;;;;;;
55113;140;140;;139;;526;518;VRAI;;;;;;;;;;
55114;190;191;;199;;433;429;VRAI;;;;;;;;;;
55115;66;67;;65;;517;525;VRAI;;;;;;;;;;
55116;65;64;;65;;487;502;VRAI;;;;;;;;;;
55117;1629;1626;;1609;;733;755;VRAI;;;;;;;;;;
55118;86;90;;94;;613;598;VRAI;;;;;;;;;;
55119;205;210;X;212;;1076;1104;FAUX;x;;;;;;;;;
55120;897;895;;891;;605;601;VRAI;;;;;;;;;;
55121;122;125;;125;;373;370;VRAI;;;;;;;;;;
55122;6656;6616;X;6554;OUI;722;713;VRAI;x;;;;;;;;;
55123;781;782;;789;;465;460;VRAI;;;;;;;;;;
55124;321;330;;334;;455;443;VRAI;;;;;;;;;;
55125;769;776;X;775;;1009;1016;FAUX;x;;;;;;;;;
55127;35;34;;37;;572;549;VRAI;;;;;;;;;;
55128;47;46;X;44;;5020;5205;FAUX;x;;;;;;;;;
55129;36;37;;36;;648;654;VRAI;;;;;;;;;;
55132;1766;1765;;1755;;475;474;VRAI;;;;;;;;;;
55133;94;94;;94;;185;177;VRAI;;;;;;;;;;
55134;157;161;;164;;547;536;VRAI;;;;;;;;;;
55137;50;52;;54;;570;550;VRAI;;;;;;;;;;
55138;;161;;164;;418;590;VRAI;;;;;;;;;;
55139;1;1;X;1;;7152;7063;FAUX;x;;;;;;;;;
55140;18;18;X;18;;1057;1023;FAUX;x;;;;;;;;;
55141;90;89;;89;;440;448;VRAI;;;;;;;;;;
55142;208;207;;209;;435;425;VRAI;;;;;;;;;;
55143;155;153;;149;;374;389;VRAI;;;;;;;;;;
55144;451;498;;491;;164;182;VRAI;;;;;;;;;;
55145;781;799;;806;;770;775;VRAI;;;;;;;;;;
55146;252;249;;250;;547;544;VRAI;;;;;;;;;;
55148;140;141;X;141;;1186;1289;FAUX;x;;;;;;;;;
55149;116;124;;130;;451;436;VRAI;;;;;;;;;;
55150;591;599;;583;;465;470;VRAI;;;;;;;;;;
55153;184;187;;187;;479;484;VRAI;;;;;;;;;;
55154;1446;1429;;1438;;954;951;VRAI;;;;;;;;;;
55155;437;440;;445;;485;472;VRAI;;;;;;;;;;
55156;154;148;;144;;447;446;VRAI;;;;;;;;;;
55157;71;71;;66;;335;364;VRAI;;;;;;;;;;
55158;845;833;;815;;473;479;VRAI;;;;;;;;;;
55159;349;342;;338;;512;515;VRAI;;;;;;;;;;
55160;52;51;;49;;561;610;VRAI;;;;;;;;;;
55162;34;35;X;34;;995;1160;FAUX;x;;;;;;;;;
55163;79;82;;85;;481;471;VRAI;;;;;;;;;;
55164;8;8;X;8;;2651;2640;FAUX;x;;;;;;;;;
55165;486;490;;483;;550;563;VRAI;;;;;;;;;;
55166;1372;1358;;1344;;776;789;VRAI;;;;;;;;;;
55167;801;785;;785;;624;622;VRAI;;;;;;;;;;
55168;49;48;;50;;522;504;VRAI;;;;;;;;;;
55169;534;520;;506;;385;394;VRAI;;;;;;;;;;
55170;169;169;;164;;390;393;VRAI;;;;;;;;;;
55171;261;265;;271;;434;423;VRAI;;;;;;;;;;
55172;78;74;;76;;323;290;VRAI;;;;;;;;;;
55173;39;40;;39;;590;597;VRAI;;;;;;;;;;
55174;91;82;;77;;674;712;VRAI;;;;;;;;;;
55175;183;179;X;173;;1058;1092;FAUX;x;;;;;;;;;
55177;69;72;X;70;;1470;1515;FAUX;x;;;;;;;;;
55178;205;204;X;205;;1130;1125;FAUX;x;;;;;;;;;
55179;187;179;;178;;505;490;VRAI;;;;;;;;;;
55180;139;141;;146;;397;378;VRAI;;;;;;;;;;
55181;3879;3925;;3857;;587;598;VRAI;;;;;;;;;;
55182;219;214;;212;;433;441;VRAI;;;;;;;;;;
55183;47;45;;45;;532;564;VRAI;;;;;;;;;;
55184;1761;1774;;1784;;421;413;VRAI;;;;;;;;;;
55185;89;91;;99;;626;589;VRAI;;;;;;;;;;
55186;2373;2356;X;2341;OUI;789;783;VRAI;x;;;;;;;;;
55188;53;51;;50;;526;538;VRAI;;;;;;;;;;
55189;0;0;;0;;0;0;VRAI;;;;;;;;;;
55191;207;207;;218;;572;529;VRAI;;;;;;;;;;
55192;71;68;;67;;541;563;VRAI;;;;;;;;;;
55193;125;130;;128;;439;480;VRAI;;;;;;;;;;
55194;60;61;;59;;636;648;VRAI;;;;;;;;;;
55195;151;156;;160;;143;128;VRAI;;;;;;;;;;
55196;119;130;;138;;417;396;VRAI;;;;;;;;;;
55197;165;169;;169;;444;438;VRAI;;;;;;;;;;
55198;757;745;;740;;507;515;VRAI;;;;;;;;;;
55199;110;113;;109;;483;495;VRAI;;;;;;;;;;
55200;245;240;;234;;661;666;VRAI;;;;;;;;;;
55201;54;54;;55;;599;588;VRAI;;;;;;;;;;
55202;208;211;;215;;380;373;VRAI;;;;;;;;;;
55204;289;285;;279;;546;571;VRAI;;;;;;;;;;
55206;157;158;;163;;413;397;VRAI;;;;;;;;;;
55207;62;66;X;66;;1595;2044;FAUX;x;;;;;;;;;
55208;52;53;;57;;669;622;VRAI;;;;;;;;;;
55210;38;38;;38;;714;710;VRAI;;;;;;;;;;
55211;64;64;;64;;586;612;VRAI;;;;;;;;;;
55212;83;77;;75;;403;447;VRAI;;;;;;;;;;
55214;343;354;;352;;562;560;VRAI;;;;;;;;;;
55215;1254;1234;;1229;;574;555;VRAI;;;;;;;;;;
55216;50;50;;52;;635;596;VRAI;;;;;;;;;;
55217;130;132;;130;;390;378;VRAI;;;;;;;;;;
55218;26;25;X;30;;1183;990;VRAI;;;;;;;;;;
55219;109;110;;107;;408;421;VRAI;;;;;;;;;;
55220;108;108;;108;;334;350;VRAI;;;;;;;;;;
55221;268;265;;267;;554;544;VRAI;;;;;;;;;;
55222;35;37;X;41;;1075;960;VRAI;;;;;;;;;;
55224;631;645;;648;;820;868;VRAI;;;;;;;;;;
55225;166;168;;171;;446;459;VRAI;;;;;;;;;;
55226;115;121;;128;;382;352;VRAI;;;;;;;;;;
55228;666;666;;665;;357;363;VRAI;;;;;;;;;;
55229;290;291;X;293;;1491;1476;FAUX;x;;;;;;;;;
55232;118;117;;115;;519;514;VRAI;;;;;;;;;;
55236;996;990;;974;;536;545;VRAI;;;;;;;;;;
55237;244;248;;246;;813;855;VRAI;;;;;;;;;;
55239;0;0;;0;;0;0;VRAI;;;;;;;;;;
55241;89;89;;90;;517;481;VRAI;;;;;;;;;;
55242;138;130;;126;;901;927;VRAI;;;;;;;;;;
55243;202;198;;199;;344;352;VRAI;;;;;;;;;;
55244;253;255;;250;;425;426;VRAI;;;;;;;;;;
55245;246;237;;234;;887;894;VRAI;;;;;;;;;;
55246;134;134;;135;;157;152;VRAI;;;;;;;;;;
55247;72;72;;77;;450;409;VRAI;;;;;;;;;;
55248;389;373;X;354;;1020;1082;FAUX;x;;;;;;;;;
55250;246;235;;229;;456;472;VRAI;;;;;;;;;;
55251;104;101;;103;;575;557;VRAI;;;;;;;;;;
55252;174;170;;161;;359;377;VRAI;;;;;;;;;;
55253;906;905;;875;;368;381;VRAI;;;;;;;;;;
55254;136;140;X;144;;1237;1174;FAUX;x;;;;;;;;;
55255;275;276;;265;;412;429;VRAI;;;;;;;;;;
55256;150;152;;153;;454;459;VRAI;;;;;;;;;;
55257;57;57;;58;;453;442;VRAI;;;;;;;;;;
55258;649;665;;672;;380;381;VRAI;;;;;;;;;;
55260;85;80;;78;;411;420;VRAI;;;;;;;;;;
55261;145;142;;140;;474;482;VRAI;;;;;;;;;;
55262;281;281;;284;;383;377;VRAI;;;;;;;;;;
55263;187;188;;194;;482;472;VRAI;;;;;;;;;;
55264;315;322;;324;;382;383;VRAI;;;;;;;;;;
55265;145;141;;137;;438;432;VRAI;;;;;;;;;;
55266;81;83;;87;;459;460;VRAI;;;;;;;;;;
55267;287;287;;286;;564;569;VRAI;;;;;;;;;;
55268;745;744;;739;;441;443;VRAI;;;;;;;;;;
55269;98;96;;99;;580;561;VRAI;;;;;;;;;;
55270;32;30;;28;;631;651;VRAI;;;;;;;;;;
55271;410;418;;417;;587;582;VRAI;;;;;;;;;;
55272;477;474;;473;;695;695;VRAI;;;;;;;;;;
55274;317;313;;315;;444;442;VRAI;;;;;;;;;;
55275;115;117;;119;;384;376;VRAI;;;;;;;;;;
55276;195;196;;190;;656;676;VRAI;;;;;;;;;;
55278;203;202;;207;;768;763;VRAI;;;;;;;;;;
55279;451;470;;456;;452;463;VRAI;;;;;;;;;;
55280;67;71;;73;;460;444;VRAI;;;;;;;;;;
55281;76;83;;88;;415;386;VRAI;;;;;;;;;;
55282;101;104;;104;;911;920;VRAI;;;;;;;;;;
55284;81;80;;81;;411;410;VRAI;;;;;;;;;;
55285;179;176;;169;;603;585;VRAI;;;;;;;;;;
55286;234;237;;234;;345;354;VRAI;;;;;;;;;;
55288;1540;1525;;1516;;456;466;VRAI;;;;;;;;;;
55289;53;58;;64;;884;820;VRAI;;;;;;;;;;
55290;51;52;;57;;758;711;VRAI;;;;;;;;;;
55291;4486;4382;;4349;;974;969;VRAI;;;;;;;;;;
55292;215;215;;216;;787;777;VRAI;;;;;;;;;;
55293;192;189;;189;;562;559;VRAI;;;;;;;;;;
